id_no,id,gender,ethnicity,bilingual,days_present,school,group,tm,testscore
1,133ARL,1,3,1,17,4,1,0,4
1,133ARL,1,3,1,17,4,1,1,5
1,133ARL,1,3,1,17,4,1,2,6
1,133ARL,1,3,1,17,4,1,3,5
2,134ARL,1,1,8,17,4,1,0,5
2,134ARL,1,1,8,17,4,1,1,5
2,134ARL,1,1,8,17,4,1,2,6
2,134ARL,1,1,8,17,4,1,3,6
3,135ARL,1,1,8,9,4,1,0,4
3,135ARL,1,1,8,9,4,1,1,2
3,135ARL,1,1,8,9,4,1,2,6
3,135ARL,1,1,8,9,4,1,3,5
4,136ARL,2,1,8,9,4,1,0,4
4,136ARL,2,1,8,9,4,1,1,4
4,136ARL,2,1,8,9,4,1,2,6
4,136ARL,2,1,8,9,4,1,3,8
5,2ARL,1,1,8,16,4,1,0,5
5,2ARL,1,1,8,16,4,1,1,10
5,2ARL,1,1,8,16,4,1,2,6
5,2ARL,1,1,8,16,4,1,3,9
6,216ARL,1,3,1,15,4,1,0,2
6,216ARL,1,3,1,15,4,1,1,4
6,216ARL,1,3,1,15,4,1,2,2
6,216ARL,1,3,1,15,4,1,3,2
7,217ARL,2,3,1,15,4,1,0,6
7,217ARL,2,3,1,15,4,1,1,4
7,217ARL,2,3,1,15,4,1,2,9
7,217ARL,2,3,1,15,4,1,3,
8,139ARL,1,3,1,15,4,1,0,5
8,139ARL,1,3,1,15,4,1,1,5
8,139ARL,1,3,1,15,4,1,2,7
8,139ARL,1,3,1,15,4,1,3,7
9,218ARL,1,1,8,13,4,1,0,2
9,218ARL,1,1,8,13,4,1,1,3
9,218ARL,1,1,8,13,4,1,2,4
9,218ARL,1,1,8,13,4,1,3,7
10,8ARL,1,3,1,18,4,1,0,3
10,8ARL,1,3,1,18,4,1,1,4
10,8ARL,1,3,1,18,4,1,2,4
10,8ARL,1,3,1,18,4,1,3,7
11,9ARL,2,3,1,14,4,1,0,2
11,9ARL,2,3,1,14,4,1,1,3
11,9ARL,2,3,1,14,4,1,2,6
11,9ARL,2,3,1,14,4,1,3,5
12,219ARL,1,1,7,18,4,1,0,5
12,219ARL,1,1,7,18,4,1,1,3
12,219ARL,1,1,7,18,4,1,2,6
