treatment,control
208.5181714,257.8951545
144.9506656,198.0373045
211.1919705,147.3608014
208.8971729,128.3978352
174.5856574,111.6714726
96.40199832,116.720471
120.8573186,91.81089745
146.2111821,227.8268499
157.7693131,211.6023564
254.1861356,158.6335654
188.5437384,183.3068681
126.03963,151.1648641
112.0937196,292.0682314
146.4215371,130.2330441
146.0313953,167.2561263
141.5395667,182.5070661
168.0889379,200.9121647
122.3231549,161.3688249
175.427332,58.8049863
108.4984631,106.8192808
149.0292846,187.9364448
173.0958258,169.4477261
163.3334544,122.9675419
190.1675804,164.2087339
155.715729,129.2515646
178.1443189,182.113174
201.4307745,98.74508026
130.3618464,188.2970562
106.6160258,182.4206324
159.8690469,173.2644091
148.5717377,170.9578196
136.2844698,182.8669189
140.6675873,137.5494961
132.0211341,164.0415619
187.0700299,203.206785
204.0764702,225.0484551
197.6864146,177.188574
140.8194756,164.1123201
207.532164,124.3965817
146.8261487,98.12068796
